"","Borough","Lon","Lat","Globvalue","time"
"42394",NA,-73.7797,40.5738,0.01,2016-07-01 04:00:00
"42428","Manhattan",-74.0105,40.7237,0.01,2016-07-01 04:00:00
"42459","Manhattan",-73.9847,40.7562,0.02,2016-07-01 04:00:00
"39939","Manhattan",-74.0105,40.7237,0.01,2016-07-01 05:00:00
"39940","Brooklyn",-73.9676,40.7042,0.01,2016-07-01 05:00:00
"39979","Manhattan",-73.9847,40.7562,0.01,2016-07-01 05:00:00
"38987","Queens",-73.8223,40.5934,0.01,2016-07-01 07:00:00
"36791","Queens",-73.8392,40.6454,0.03,2016-07-01 08:00:00
"36792","Queens",-73.7965,40.6258,0.04,2016-07-01 08:00:00
"36793","Queens",-73.7538,40.6062,0.01,2016-07-01 08:00:00
"36832","Queens",-73.9418,40.7367,0.04,2016-07-01 08:00:00
"36833","Queens",-73.8989,40.7171,0.04,2016-07-01 08:00:00
"36834","Queens",-73.8561,40.6975,0.02,2016-07-01 08:00:00
"36835","Queens",-73.8133,40.6779,0.05,2016-07-01 08:00:00
"36876","Queens",-73.916,40.7692,0.07,2016-07-01 08:00:00
"36877","Queens",-73.8731,40.7496,0.04,2016-07-01 08:00:00
"36878","Queens",-73.8302,40.7299,0.04,2016-07-01 08:00:00
"36879","Queens",-73.7874,40.7103,0.03,2016-07-01 08:00:00
"36920",NA,-73.976,40.8408,0.01,2016-07-01 08:00:00
"36921","Manhattan",-73.933,40.8213,0.02,2016-07-01 08:00:00
"36963","Bronx",-73.9071,40.8538,0.02,2016-07-01 08:00:00
"36964","Bronx",-73.8642,40.8341,0.05,2016-07-01 08:00:00
"36965","Queens",-73.7783,40.7948,0.01,2016-07-01 08:00:00
"36774",NA,-74.0534,40.7432,0.01,2016-07-01 09:00:00
"36775","Queens",-73.7965,40.6258,0.02,2016-07-01 09:00:00
"36827","Queens",-73.9418,40.7367,0.04,2016-07-01 09:00:00
"36828","Queens",-73.8989,40.7171,0.01,2016-07-01 09:00:00
"368781","Queens",-73.916,40.7692,0.03,2016-07-01 09:00:00
"368791","Queens",-73.8731,40.7496,0.01,2016-07-01 09:00:00
"36880","Queens",-73.8302,40.7299,0.02,2016-07-01 09:00:00
"36881","Queens",-73.7874,40.7103,0.02,2016-07-01 09:00:00
"36930",NA,-73.976,40.8408,0.02,2016-07-01 09:00:00
"36931","Manhattan",-73.933,40.8213,0.03,2016-07-01 09:00:00
"36977",NA,-73.9501,40.8734,0.01,2016-07-01 09:00:00
